idea,nisza,bucket,narzedzie,archetyp,plausible,score
koło wyboru dla: fizjoterapeuci,fizjoterapeuci,prof,koło wyboru,randomizer,0,0
kalkulator podziału dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: fizjoterapeuci,fizjoterapeuci,prof,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: fizjoterapeuci,fizjoterapeuci,prof,rozliczenie grupowe,splitter,0,0
podział równościowy dla: fizjoterapeuci,fizjoterapeuci,prof,podział równościowy,splitter,0,0
kalkulator wyrównań dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator rozmiaru/ilości,sizing,1,14
kalkulator metrażu dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator metrażu,sizing,1,14
przelicznik zapotrzebowania dla: fizjoterapeuci,fizjoterapeuci,prof,przelicznik zapotrzebowania,sizing,1,14
kalkulator porcji dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator porcji,sizing,1,14
kalkulator wymiarów dla: fizjoterapeuci,fizjoterapeuci,prof,kalkulator wymiarów,sizing,1,14
rotacja/planer cykliczny dla: fizjoterapeuci,fizjoterapeuci,prof,rotacja/planer cykliczny,rotation,1,13
układacz harmonogramu dla: fizjoterapeuci,fizjoterapeuci,prof,układacz harmonogramu,rotation,1,13
plan rotacji dla: fizjoterapeuci,fizjoterapeuci,prof,plan rotacji,rotation,1,13
grafik powtarzalny dla: fizjoterapeuci,fizjoterapeuci,prof,grafik powtarzalny,rotation,1,13
rozkład tygodniowy dla: fizjoterapeuci,fizjoterapeuci,prof,rozkład tygodniowy,rotation,1,13
dziennik branżowy dla: fizjoterapeuci,fizjoterapeuci,prof,dziennik branżowy,logbook,1,12
logbook sesji dla: fizjoterapeuci,fizjoterapeuci,prof,logbook sesji,logbook,1,12
rejestr inspekcji dla: fizjoterapeuci,fizjoterapeuci,prof,rejestr inspekcji,logbook,1,12
karta klienta dla: fizjoterapeuci,fizjoterapeuci,prof,karta klienta,logbook,1,12
historia serwisowa dla: fizjoterapeuci,fizjoterapeuci,prof,historia serwisowa,logbook,1,12
tabela referencyjna dla: dietetycy,dietetycy,prof,tabela referencyjna,reference,1,14
ściąga norm/parametrów dla: dietetycy,dietetycy,prof,ściąga norm/parametrów,reference,1,14
lookup specyfikacji dla: dietetycy,dietetycy,prof,lookup specyfikacji,reference,1,14
podręczna baza wiedzy dla: dietetycy,dietetycy,prof,podręczna baza wiedzy,reference,1,14
tabela porównawcza dla: dietetycy,dietetycy,prof,tabela porównawcza,reference,1,14
kalkulator dawkowania dla: dietetycy,dietetycy,prof,kalkulator dawkowania,dosage,1,15
kalkulator proporcji mieszanki dla: dietetycy,dietetycy,prof,kalkulator proporcji mieszanki,dosage,1,15
kalkulator stężeń dla: dietetycy,dietetycy,prof,kalkulator stężeń,dosage,1,15
przelicznik receptury dla: dietetycy,dietetycy,prof,przelicznik receptury,dosage,1,15
kalkulator składników dla: dietetycy,dietetycy,prof,kalkulator składników,dosage,1,15
kalkulator kosztów dla: dietetycy,dietetycy,prof,kalkulator kosztów,calculator,1,14
kalkulator materiałów dla: dietetycy,dietetycy,prof,kalkulator materiałów,calculator,1,14
kalkulator opłacalności dla: dietetycy,dietetycy,prof,kalkulator opłacalności,calculator,1,14
kalkulator zużycia dla: dietetycy,dietetycy,prof,kalkulator zużycia,calculator,1,14
kalkulator czasu dla: dietetycy,dietetycy,prof,kalkulator czasu,calculator,1,14
konwerter jednostek dla: dietetycy,dietetycy,prof,konwerter jednostek,converter,1,13
przelicznik miar dla: dietetycy,dietetycy,prof,przelicznik miar,converter,1,13
konwerter formatów dla: dietetycy,dietetycy,prof,konwerter formatów,converter,1,13
przelicznik walut-stały dla: dietetycy,dietetycy,prof,przelicznik walut-stały,converter,1,13
konwerter rozmiarów dla: dietetycy,dietetycy,prof,konwerter rozmiarów,converter,1,13
kosztorys/wycena dla: dietetycy,dietetycy,prof,kosztorys/wycena,estimator,1,13
szacowanie nakładu dla: dietetycy,dietetycy,prof,szacowanie nakładu,estimator,1,13
kalkulator oferty dla: dietetycy,dietetycy,prof,kalkulator oferty,estimator,1,13
wycena na papierze dla: dietetycy,dietetycy,prof,wycena na papierze,estimator,1,13
estymacja czasu robót dla: dietetycy,dietetycy,prof,estymacja czasu robót,estimator,1,13
tracker postępu dla: dietetycy,dietetycy,prof,tracker postępu,tracker,1,12
monitor nawyku dla: dietetycy,dietetycy,prof,monitor nawyku,tracker,1,12
śledzenie wyników dla: dietetycy,dietetycy,prof,śledzenie wyników,tracker,1,12
tracker pomiarów dla: dietetycy,dietetycy,prof,tracker pomiarów,tracker,1,12
licznik serii dla: dietetycy,dietetycy,prof,licznik serii,tracker,1,12
dziennik objawów → PDF dla lekarza dla: dietetycy,dietetycy,prof,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: dietetycy,dietetycy,prof,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: dietetycy,dietetycy,prof,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: dietetycy,dietetycy,prof,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: dietetycy,dietetycy,prof,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: dietetycy,dietetycy,prof,dziennik aktywności,log,1,11
log zdarzeń dla: dietetycy,dietetycy,prof,log zdarzeń,log,1,11
rejestr czynności dla: dietetycy,dietetycy,prof,rejestr czynności,log,1,11
notatnik tematyczny dla: dietetycy,dietetycy,prof,notatnik tematyczny,log,1,11
kronika dla: dietetycy,dietetycy,prof,kronika,log,1,11
katalog kolekcji dla: dietetycy,dietetycy,prof,katalog kolekcji,inventory,1,11
ewidencja zasobów dla: dietetycy,dietetycy,prof,ewidencja zasobów,inventory,1,11
inwentarz wyposażenia dla: dietetycy,dietetycy,prof,inwentarz wyposażenia,inventory,1,11
baza sprzętu dla: dietetycy,dietetycy,prof,baza sprzętu,inventory,1,11
spis zbiorów dla: dietetycy,dietetycy,prof,spis zbiorów,inventory,1,11
lista kontrolna dla: dietetycy,dietetycy,prof,lista kontrolna,checklist,1,13
checklist inspekcji dla: dietetycy,dietetycy,prof,checklist inspekcji,checklist,1,13
protokół odbioru dla: dietetycy,dietetycy,prof,protokół odbioru,checklist,1,13
lista BHP dla: dietetycy,dietetycy,prof,lista BHP,checklist,1,13
karta kontroli jakości dla: dietetycy,dietetycy,prof,karta kontroli jakości,checklist,1,13
planer projektu dla: dietetycy,dietetycy,prof,planer projektu,planner,1,11
plan krok-po-kroku dla: dietetycy,dietetycy,prof,plan krok-po-kroku,planner,1,11
organizator zadań dla: dietetycy,dietetycy,prof,organizator zadań,planner,1,11
planer wydarzenia dla: dietetycy,dietetycy,prof,planer wydarzenia,planner,1,11
harmonogram przygotowań dla: dietetycy,dietetycy,prof,harmonogram przygotowań,planner,1,11
tracker terminów ważności dla: dietetycy,dietetycy,prof,tracker terminów ważności,expiry,1,14
alert wygasania uprawnień dla: dietetycy,dietetycy,prof,alert wygasania uprawnień,expiry,1,14
przypominacz przeglądów dla: dietetycy,dietetycy,prof,przypominacz przeglądów,expiry,1,14
monitor dat odnowień dla: dietetycy,dietetycy,prof,monitor dat odnowień,expiry,1,14
kalendarz obowiązków dla: dietetycy,dietetycy,prof,kalendarz obowiązków,expiry,1,14
cennik usług dla: dietetycy,dietetycy,prof,cennik usług,pricebook,1,11
książka cen dla: dietetycy,dietetycy,prof,książka cen,pricebook,1,11
kalkulator marży dla: dietetycy,dietetycy,prof,kalkulator marży,pricebook,1,11
tabela stawek dla: dietetycy,dietetycy,prof,tabela stawek,pricebook,1,11
kosztorys materiałowy dla: dietetycy,dietetycy,prof,kosztorys materiałowy,pricebook,1,11
fiszki/drill nauki dla: dietetycy,dietetycy,prof,fiszki/drill nauki,flashcard,1,14
generator ćwiczeń dla: dietetycy,dietetycy,prof,generator ćwiczeń,flashcard,1,14
trening powtórek dla: dietetycy,dietetycy,prof,trening powtórek,flashcard,1,14
quiz tematyczny dla: dietetycy,dietetycy,prof,quiz tematyczny,flashcard,1,14
karty pamięciowe dla: dietetycy,dietetycy,prof,karty pamięciowe,flashcard,1,14
generator dokumentu dla: dietetycy,dietetycy,prof,generator dokumentu,generator,1,12
generator etykiet do druku dla: dietetycy,dietetycy,prof,generator etykiet do druku,generator,1,12
generator certyfikatów dla: dietetycy,dietetycy,prof,generator certyfikatów,generator,1,12
generator planu dla: dietetycy,dietetycy,prof,generator planu,generator,1,12
generator listy dla: dietetycy,dietetycy,prof,generator listy,generator,1,12
losowanie z regułami dla: dietetycy,dietetycy,prof,losowanie z regułami,randomizer,0,0
picker decyzji dla: dietetycy,dietetycy,prof,picker decyzji,randomizer,0,0
rotacyjny wybór dla: dietetycy,dietetycy,prof,rotacyjny wybór,randomizer,0,0
randomizer grupowy dla: dietetycy,dietetycy,prof,randomizer grupowy,randomizer,0,0
koło wyboru dla: dietetycy,dietetycy,prof,koło wyboru,randomizer,0,0
kalkulator podziału dla: dietetycy,dietetycy,prof,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: dietetycy,dietetycy,prof,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: dietetycy,dietetycy,prof,rozliczenie grupowe,splitter,0,0
podział równościowy dla: dietetycy,dietetycy,prof,podział równościowy,splitter,0,0
kalkulator wyrównań dla: dietetycy,dietetycy,prof,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: dietetycy,dietetycy,prof,kalkulator rozmiaru/ilości,sizing,1,14
kalkulator metrażu dla: dietetycy,dietetycy,prof,kalkulator metrażu,sizing,1,14
przelicznik zapotrzebowania dla: dietetycy,dietetycy,prof,przelicznik zapotrzebowania,sizing,1,14
kalkulator porcji dla: dietetycy,dietetycy,prof,kalkulator porcji,sizing,1,14
kalkulator wymiarów dla: dietetycy,dietetycy,prof,kalkulator wymiarów,sizing,1,14
rotacja/planer cykliczny dla: dietetycy,dietetycy,prof,rotacja/planer cykliczny,rotation,1,13
układacz harmonogramu dla: dietetycy,dietetycy,prof,układacz harmonogramu,rotation,1,13
plan rotacji dla: dietetycy,dietetycy,prof,plan rotacji,rotation,1,13
grafik powtarzalny dla: dietetycy,dietetycy,prof,grafik powtarzalny,rotation,1,13
rozkład tygodniowy dla: dietetycy,dietetycy,prof,rozkład tygodniowy,rotation,1,13
dziennik branżowy dla: dietetycy,dietetycy,prof,dziennik branżowy,logbook,1,12
logbook sesji dla: dietetycy,dietetycy,prof,logbook sesji,logbook,1,12
rejestr inspekcji dla: dietetycy,dietetycy,prof,rejestr inspekcji,logbook,1,12
karta klienta dla: dietetycy,dietetycy,prof,karta klienta,logbook,1,12
historia serwisowa dla: dietetycy,dietetycy,prof,historia serwisowa,logbook,1,12
tabela referencyjna dla: optometryści,optometryści,prof,tabela referencyjna,reference,1,14
ściąga norm/parametrów dla: optometryści,optometryści,prof,ściąga norm/parametrów,reference,1,14
lookup specyfikacji dla: optometryści,optometryści,prof,lookup specyfikacji,reference,1,14
podręczna baza wiedzy dla: optometryści,optometryści,prof,podręczna baza wiedzy,reference,1,14
tabela porównawcza dla: optometryści,optometryści,prof,tabela porównawcza,reference,1,14
kalkulator dawkowania dla: optometryści,optometryści,prof,kalkulator dawkowania,dosage,1,15
kalkulator proporcji mieszanki dla: optometryści,optometryści,prof,kalkulator proporcji mieszanki,dosage,1,15
kalkulator stężeń dla: optometryści,optometryści,prof,kalkulator stężeń,dosage,1,15
przelicznik receptury dla: optometryści,optometryści,prof,przelicznik receptury,dosage,1,15
kalkulator składników dla: optometryści,optometryści,prof,kalkulator składników,dosage,1,15
kalkulator kosztów dla: optometryści,optometryści,prof,kalkulator kosztów,calculator,1,14
kalkulator materiałów dla: optometryści,optometryści,prof,kalkulator materiałów,calculator,1,14
kalkulator opłacalności dla: optometryści,optometryści,prof,kalkulator opłacalności,calculator,1,14
kalkulator zużycia dla: optometryści,optometryści,prof,kalkulator zużycia,calculator,1,14
kalkulator czasu dla: optometryści,optometryści,prof,kalkulator czasu,calculator,1,14
konwerter jednostek dla: optometryści,optometryści,prof,konwerter jednostek,converter,1,13
przelicznik miar dla: optometryści,optometryści,prof,przelicznik miar,converter,1,13
konwerter formatów dla: optometryści,optometryści,prof,konwerter formatów,converter,1,13
przelicznik walut-stały dla: optometryści,optometryści,prof,przelicznik walut-stały,converter,1,13
konwerter rozmiarów dla: optometryści,optometryści,prof,konwerter rozmiarów,converter,1,13
kosztorys/wycena dla: optometryści,optometryści,prof,kosztorys/wycena,estimator,1,13
szacowanie nakładu dla: optometryści,optometryści,prof,szacowanie nakładu,estimator,1,13
kalkulator oferty dla: optometryści,optometryści,prof,kalkulator oferty,estimator,1,13
wycena na papierze dla: optometryści,optometryści,prof,wycena na papierze,estimator,1,13
estymacja czasu robót dla: optometryści,optometryści,prof,estymacja czasu robót,estimator,1,13
tracker postępu dla: optometryści,optometryści,prof,tracker postępu,tracker,1,12
monitor nawyku dla: optometryści,optometryści,prof,monitor nawyku,tracker,1,12
śledzenie wyników dla: optometryści,optometryści,prof,śledzenie wyników,tracker,1,12
tracker pomiarów dla: optometryści,optometryści,prof,tracker pomiarów,tracker,1,12
licznik serii dla: optometryści,optometryści,prof,licznik serii,tracker,1,12
dziennik objawów → PDF dla lekarza dla: optometryści,optometryści,prof,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: optometryści,optometryści,prof,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: optometryści,optometryści,prof,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: optometryści,optometryści,prof,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: optometryści,optometryści,prof,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: optometryści,optometryści,prof,dziennik aktywności,log,1,11
log zdarzeń dla: optometryści,optometryści,prof,log zdarzeń,log,1,11
rejestr czynności dla: optometryści,optometryści,prof,rejestr czynności,log,1,11
notatnik tematyczny dla: optometryści,optometryści,prof,notatnik tematyczny,log,1,11
kronika dla: optometryści,optometryści,prof,kronika,log,1,11
katalog kolekcji dla: optometryści,optometryści,prof,katalog kolekcji,inventory,1,11
ewidencja zasobów dla: optometryści,optometryści,prof,ewidencja zasobów,inventory,1,11
inwentarz wyposażenia dla: optometryści,optometryści,prof,inwentarz wyposażenia,inventory,1,11
baza sprzętu dla: optometryści,optometryści,prof,baza sprzętu,inventory,1,11
spis zbiorów dla: optometryści,optometryści,prof,spis zbiorów,inventory,1,11
lista kontrolna dla: optometryści,optometryści,prof,lista kontrolna,checklist,1,13
checklist inspekcji dla: optometryści,optometryści,prof,checklist inspekcji,checklist,1,13
protokół odbioru dla: optometryści,optometryści,prof,protokół odbioru,checklist,1,13
lista BHP dla: optometryści,optometryści,prof,lista BHP,checklist,1,13
karta kontroli jakości dla: optometryści,optometryści,prof,karta kontroli jakości,checklist,1,13
planer projektu dla: optometryści,optometryści,prof,planer projektu,planner,1,11
plan krok-po-kroku dla: optometryści,optometryści,prof,plan krok-po-kroku,planner,1,11
organizator zadań dla: optometryści,optometryści,prof,organizator zadań,planner,1,11
planer wydarzenia dla: optometryści,optometryści,prof,planer wydarzenia,planner,1,11
harmonogram przygotowań dla: optometryści,optometryści,prof,harmonogram przygotowań,planner,1,11
tracker terminów ważności dla: optometryści,optometryści,prof,tracker terminów ważności,expiry,1,14
alert wygasania uprawnień dla: optometryści,optometryści,prof,alert wygasania uprawnień,expiry,1,14
przypominacz przeglądów dla: optometryści,optometryści,prof,przypominacz przeglądów,expiry,1,14
monitor dat odnowień dla: optometryści,optometryści,prof,monitor dat odnowień,expiry,1,14
kalendarz obowiązków dla: optometryści,optometryści,prof,kalendarz obowiązków,expiry,1,14
cennik usług dla: optometryści,optometryści,prof,cennik usług,pricebook,1,11
książka cen dla: optometryści,optometryści,prof,książka cen,pricebook,1,11
kalkulator marży dla: optometryści,optometryści,prof,kalkulator marży,pricebook,1,11
tabela stawek dla: optometryści,optometryści,prof,tabela stawek,pricebook,1,11
kosztorys materiałowy dla: optometryści,optometryści,prof,kosztorys materiałowy,pricebook,1,11
fiszki/drill nauki dla: optometryści,optometryści,prof,fiszki/drill nauki,flashcard,1,14
generator ćwiczeń dla: optometryści,optometryści,prof,generator ćwiczeń,flashcard,1,14
trening powtórek dla: optometryści,optometryści,prof,trening powtórek,flashcard,1,14
quiz tematyczny dla: optometryści,optometryści,prof,quiz tematyczny,flashcard,1,14
karty pamięciowe dla: optometryści,optometryści,prof,karty pamięciowe,flashcard,1,14
generator dokumentu dla: optometryści,optometryści,prof,generator dokumentu,generator,1,12
generator etykiet do druku dla: optometryści,optometryści,prof,generator etykiet do druku,generator,1,12
generator certyfikatów dla: optometryści,optometryści,prof,generator certyfikatów,generator,1,12
generator planu dla: optometryści,optometryści,prof,generator planu,generator,1,12
generator listy dla: optometryści,optometryści,prof,generator listy,generator,1,12
losowanie z regułami dla: optometryści,optometryści,prof,losowanie z regułami,randomizer,0,0
picker decyzji dla: optometryści,optometryści,prof,picker decyzji,randomizer,0,0
rotacyjny wybór dla: optometryści,optometryści,prof,rotacyjny wybór,randomizer,0,0
randomizer grupowy dla: optometryści,optometryści,prof,randomizer grupowy,randomizer,0,0
koło wyboru dla: optometryści,optometryści,prof,koło wyboru,randomizer,0,0
kalkulator podziału dla: optometryści,optometryści,prof,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: optometryści,optometryści,prof,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: optometryści,optometryści,prof,rozliczenie grupowe,splitter,0,0
podział równościowy dla: optometryści,optometryści,prof,podział równościowy,splitter,0,0
kalkulator wyrównań dla: optometryści,optometryści,prof,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: optometryści,optometryści,prof,kalkulator rozmiaru/ilości,sizing,1,14
kalkulator metrażu dla: optometryści,optometryści,prof,kalkulator metrażu,sizing,1,14
przelicznik zapotrzebowania dla: optometryści,optometryści,prof,przelicznik zapotrzebowania,sizing,1,14
kalkulator porcji dla: optometryści,optometryści,prof,kalkulator porcji,sizing,1,14
kalkulator wymiarów dla: optometryści,optometryści,prof,kalkulator wymiarów,sizing,1,14
rotacja/planer cykliczny dla: optometryści,optometryści,prof,rotacja/planer cykliczny,rotation,1,13
układacz harmonogramu dla: optometryści,optometryści,prof,układacz harmonogramu,rotation,1,13
plan rotacji dla: optometryści,optometryści,prof,plan rotacji,rotation,1,13
grafik powtarzalny dla: optometryści,optometryści,prof,grafik powtarzalny,rotation,1,13
rozkład tygodniowy dla: optometryści,optometryści,prof,rozkład tygodniowy,rotation,1,13
dziennik branżowy dla: optometryści,optometryści,prof,dziennik branżowy,logbook,1,12
logbook sesji dla: optometryści,optometryści,prof,logbook sesji,logbook,1,12
rejestr inspekcji dla: optometryści,optometryści,prof,rejestr inspekcji,logbook,1,12
karta klienta dla: optometryści,optometryści,prof,karta klienta,logbook,1,12
historia serwisowa dla: optometryści,optometryści,prof,historia serwisowa,logbook,1,12
tabela referencyjna dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tabela referencyjna,reference,1,14
ściąga norm/parametrów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,ściąga norm/parametrów,reference,1,14
lookup specyfikacji dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,lookup specyfikacji,reference,1,14
podręczna baza wiedzy dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,podręczna baza wiedzy,reference,1,14
tabela porównawcza dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tabela porównawcza,reference,1,14
kalkulator dawkowania dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator dawkowania,dosage,1,15
kalkulator proporcji mieszanki dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator proporcji mieszanki,dosage,1,15
kalkulator stężeń dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator stężeń,dosage,1,15
przelicznik receptury dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,przelicznik receptury,dosage,1,15
kalkulator składników dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator składników,dosage,1,15
kalkulator kosztów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator kosztów,calculator,1,14
kalkulator materiałów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator materiałów,calculator,1,14
kalkulator opłacalności dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator opłacalności,calculator,1,14
kalkulator zużycia dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator zużycia,calculator,1,14
kalkulator czasu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator czasu,calculator,1,14
konwerter jednostek dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,konwerter jednostek,converter,1,13
przelicznik miar dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,przelicznik miar,converter,1,13
konwerter formatów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,konwerter formatów,converter,1,13
przelicznik walut-stały dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,przelicznik walut-stały,converter,1,13
konwerter rozmiarów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,konwerter rozmiarów,converter,1,13
kosztorys/wycena dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kosztorys/wycena,estimator,1,13
szacowanie nakładu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,szacowanie nakładu,estimator,1,13
kalkulator oferty dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator oferty,estimator,1,13
wycena na papierze dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,wycena na papierze,estimator,1,13
estymacja czasu robót dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,estymacja czasu robót,estimator,1,13
tracker postępu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tracker postępu,tracker,1,12
monitor nawyku dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,monitor nawyku,tracker,1,12
śledzenie wyników dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,śledzenie wyników,tracker,1,12
tracker pomiarów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tracker pomiarów,tracker,1,12
licznik serii dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,licznik serii,tracker,1,12
dziennik objawów → PDF dla lekarza dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,dziennik aktywności,log,1,11
log zdarzeń dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,log zdarzeń,log,1,11
rejestr czynności dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,rejestr czynności,log,1,11
notatnik tematyczny dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,notatnik tematyczny,log,1,11
kronika dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kronika,log,1,11
katalog kolekcji dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,katalog kolekcji,inventory,1,11
ewidencja zasobów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,ewidencja zasobów,inventory,1,11
inwentarz wyposażenia dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,inwentarz wyposażenia,inventory,1,11
baza sprzętu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,baza sprzętu,inventory,1,11
spis zbiorów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,spis zbiorów,inventory,1,11
lista kontrolna dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,lista kontrolna,checklist,1,13
checklist inspekcji dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,checklist inspekcji,checklist,1,13
protokół odbioru dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,protokół odbioru,checklist,1,13
lista BHP dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,lista BHP,checklist,1,13
karta kontroli jakości dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,karta kontroli jakości,checklist,1,13
planer projektu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,planer projektu,planner,1,11
plan krok-po-kroku dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,plan krok-po-kroku,planner,1,11
organizator zadań dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,organizator zadań,planner,1,11
planer wydarzenia dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,planer wydarzenia,planner,1,11
harmonogram przygotowań dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,harmonogram przygotowań,planner,1,11
tracker terminów ważności dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tracker terminów ważności,expiry,1,14
alert wygasania uprawnień dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,alert wygasania uprawnień,expiry,1,14
przypominacz przeglądów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,przypominacz przeglądów,expiry,1,14
monitor dat odnowień dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,monitor dat odnowień,expiry,1,14
kalendarz obowiązków dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalendarz obowiązków,expiry,1,14
cennik usług dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,cennik usług,pricebook,1,11
książka cen dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,książka cen,pricebook,1,11
kalkulator marży dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kalkulator marży,pricebook,1,11
tabela stawek dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,tabela stawek,pricebook,1,11
kosztorys materiałowy dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,kosztorys materiałowy,pricebook,1,11
fiszki/drill nauki dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,fiszki/drill nauki,flashcard,1,14
generator ćwiczeń dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator ćwiczeń,flashcard,1,14
trening powtórek dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,trening powtórek,flashcard,1,14
quiz tematyczny dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,quiz tematyczny,flashcard,1,14
karty pamięciowe dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,karty pamięciowe,flashcard,1,14
generator dokumentu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator dokumentu,generator,1,12
generator etykiet do druku dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator etykiet do druku,generator,1,12
generator certyfikatów dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator certyfikatów,generator,1,12
generator planu dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator planu,generator,1,12
generator listy dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,generator listy,generator,1,12
losowanie z regułami dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,losowanie z regułami,randomizer,0,0
picker decyzji dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,picker decyzji,randomizer,0,0
rotacyjny wybór dla: higienistki stomatologiczne,higienistki stomatologiczne,prof,rotacyjny wybór,randomizer,0,0
